,Unnamed: 0,Unnamed: 0.1,Num_Cells_Strain1,Num_Cells_Strain2,t_deg,k_degA,k_degB,ratioS1,ratioS2,posS1,posS2,Stability,Survivors,New_Stability
5292,5292,5618,4,9,24,0.1,0.3,0.9054104468764927,0.8298258675975223,"[[-187 -200]
 [-189 -191]
 [-143  -56]
 [  93   38]]","[[ -17 -179]
 [ 190   41]
 [  93 -150]
 [ -52  -74]
 [  91  -13]
 [ -99   62]
 [ 124  -89]
 [-151  -18]
 [ 153   67]]",0.3,0.3,1.0
5298,5298,5624,4,9,36,0.1,0.3,0.9054104468764927,0.8298258675975223,"[[-187 -200]
 [-189 -191]
 [-143  -56]
 [  93   38]]","[[ -17 -179]
 [ 190   41]
 [  93 -150]
 [ -52  -74]
 [  91  -13]
 [ -99   62]
 [ 124  -89]
 [-151  -18]
 [ 153   67]]",0.3,0.3,1.0
5305,5305,5631,4,9,46,0.1,0.3,0.9054104468764927,0.8298258675975223,"[[-187 -200]
 [-189 -191]
 [-143  -56]
 [  93   38]]","[[ -17 -179]
 [ 190   41]
 [  93 -150]
 [ -52  -74]
 [  91  -13]
 [ -99   62]
 [ 124  -89]
 [-151  -18]
 [ 153   67]]",0.3,0.5,1.0
5337,5337,5663,4,9,12,0.3,0.5,0.9054104468764927,0.8298258675975223,"[[-187 -200]
 [-189 -191]
 [-143  -56]
 [  93   38]]","[[ -17 -179]
 [ 190   41]
 [  93 -150]
 [ -52  -74]
 [  91  -13]
 [ -99   62]
 [ 124  -89]
 [-151  -18]
 [ 153   67]]",0.5,0.7,1.0
5341,5341,5667,4,9,24,0.3,0.5,0.9054104468764927,0.8298258675975223,"[[-187 -200]
 [-189 -191]
 [-143  -56]
 [  93   38]]","[[ -17 -179]
 [ 190   41]
 [  93 -150]
 [ -52  -74]
 [  91  -13]
 [ -99   62]
 [ 124  -89]
 [-151  -18]
 [ 153   67]]",0.5,0.3,1.0
5348,5348,5674,4,9,36,0.3,0.5,0.9054104468764927,0.8298258675975223,"[[-187 -200]
 [-189 -191]
 [-143  -56]
 [  93   38]]","[[ -17 -179]
 [ 190   41]
 [  93 -150]
 [ -52  -74]
 [  91  -13]
 [ -99   62]
 [ 124  -89]
 [-151  -18]
 [ 153   67]]",0.6,0.5,1.0
5355,5355,5681,4,9,46,0.3,0.5,0.9054104468764927,0.8298258675975223,"[[-187 -200]
 [-189 -191]
 [-143  -56]
 [  93   38]]","[[ -17 -179]
 [ 190   41]
 [  93 -150]
 [ -52  -74]
 [  91  -13]
 [ -99   62]
 [ 124  -89]
 [-151  -18]
 [ 153   67]]",0.6,0.7,1.0
5363,5363,5689,6,3,12,0.1,0.3,1.0856060810310824,1.24652058911562,"[[-137   38]
 [  17   91]
 [ -74 -113]
 [-180  111]
 [-108  178]
 [-192  -78]]","[[-150 -140]
 [  -3   39]
 [ -59  134]]",0.4,0.3,1.0
5394,5394,5720,6,3,12,0.3,0.5,1.0856060810310824,1.24652058911562,"[[-137   38]
 [  17   91]
 [ -74 -113]
 [-180  111]
 [-108  178]
 [-192  -78]]","[[-150 -140]
 [  -3   39]
 [ -59  134]]",0.8,0.5,1.0
5400,5400,5726,6,3,24,0.3,0.5,1.0856060810310824,1.24652058911562,"[[-137   38]
 [  17   91]
 [ -74 -113]
 [-180  111]
 [-108  178]
 [-192  -78]]","[[-150 -140]
 [  -3   39]
 [ -59  134]]",0.9,0.7,1.0
5406,5406,5732,6,3,36,0.3,0.5,1.0856060810310824,1.24652058911562,"[[-137   38]
 [  17   91]
 [ -74 -113]
 [-180  111]
 [-108  178]
 [-192  -78]]","[[-150 -140]
 [  -3   39]
 [ -59  134]]",0.8,0.9,1.0
5409,5409,5735,6,3,24,0.1,0.3,1.0856060810310824,1.24652058911562,"[[-137   38]
 [  17   91]
 [ -74 -113]
 [-180  111]
 [-108  178]
 [-192  -78]]","[[-150 -140]
 [  -3   39]
 [ -59  134]]",0.3,0.3,1.0
5415,5415,5741,6,3,36,0.1,0.3,1.0856060810310824,1.24652058911562,"[[-137   38]
 [  17   91]
 [ -74 -113]
 [-180  111]
 [-108  178]
 [-192  -78]]","[[-150 -140]
 [  -3   39]
 [ -59  134]]",0.3,0.3,1.0
5421,5421,5747,9,3,12,0.1,0.3,0.9340004337764692,1.3330103882202216,"[[  52  148]
 [  48 -148]
 [  70  -68]
 [  26  163]
 [   9  -41]
 [ 162  -72]
 [  38    9]
 [-175   52]
 [  24 -154]]","[[  44  -16]
 [-173 -197]
 [ 155   24]]",0.2,0.3,1.0
5427,5427,5753,9,3,24,0.1,0.3,0.9340004337764692,1.3330103882202216,"[[  52  148]
 [  48 -148]
 [  70  -68]
 [  26  163]
 [   9  -41]
 [ 162  -72]
 [  38    9]
 [-175   52]
 [  24 -154]]","[[  44  -16]
 [-173 -197]
 [ 155   24]]",0.2,0.3,1.0
5433,5433,5759,9,3,36,0.1,0.3,0.9340004337764692,1.3330103882202216,"[[  52  148]
 [  48 -148]
 [  70  -68]
 [  26  163]
 [   9  -41]
 [ 162  -72]
 [  38    9]
 [-175   52]
 [  24 -154]]","[[  44  -16]
 [-173 -197]
 [ 155   24]]",0.2,0.3,1.0
5439,5439,5765,6,3,46,0.1,0.3,1.0856060810310824,1.24652058911562,"[[-137   38]
 [  17   91]
 [ -74 -113]
 [-180  111]
 [-108  178]
 [-192  -78]]","[[-150 -140]
 [  -3   39]
 [ -59  134]]",0.3,0.3,1.0
5445,5445,5771,9,3,46,0.1,0.3,0.9340004337764692,1.3330103882202216,"[[  52  148]
 [  48 -148]
 [  70  -68]
 [  26  163]
 [   9  -41]
 [ 162  -72]
 [  38    9]
 [-175   52]
 [  24 -154]]","[[  44  -16]
 [-173 -197]
 [ 155   24]]",0.2,0.3,1.0
