,Num_Cells_Strain1,Num_Cells_Strain2,t_deg,k_degA,k_degB,ratioS1,ratioS2,posS1,posS2,Stability,New_Stability,Replating
68,7,10,12,0.6,0.5,5.0,5.0,"['[[0 0]', ' [0 0]', ' [0 0]', ' [0 0]', ' [0 0]', ' [0 0]', ' [0 0]]']","['[[0 0]', ' [0 0]', ' [0 0]', ' [0 0]', ' [0 0]', ' [0 0]', ' [0 0]', ' [0 0]', ' [0 0]', ' [0 0]]']",1.0,1.0,0.9
69,7,10,24,0.6,0.5,5.0,5.0,"['[[0 0]', ' [0 0]', ' [0 0]', ' [0 0]', ' [0 0]', ' [0 0]', ' [0 0]]']","['[[0 0]', ' [0 0]', ' [0 0]', ' [0 0]', ' [0 0]', ' [0 0]', ' [0 0]', ' [0 0]', ' [0 0]', ' [0 0]]']",1.0,1.0,0.9
70,7,10,36,0.6,0.5,5.0,5.0,"['[[0 0]', ' [0 0]', ' [0 0]', ' [0 0]', ' [0 0]', ' [0 0]', ' [0 0]]']","['[[0 0]', ' [0 0]', ' [0 0]', ' [0 0]', ' [0 0]', ' [0 0]', ' [0 0]', ' [0 0]', ' [0 0]', ' [0 0]]']",1.0,1.0,0.9
71,7,10,46,0.6,0.5,5.0,5.0,"['[[0 0]', ' [0 0]', ' [0 0]', ' [0 0]', ' [0 0]', ' [0 0]', ' [0 0]]']","['[[0 0]', ' [0 0]', ' [0 0]', ' [0 0]', ' [0 0]', ' [0 0]', ' [0 0]', ' [0 0]', ' [0 0]', ' [0 0]]']",1.0,1.0,0.9
72,7,10,12,0.6,0.6,5.0,5.0,"['[[0 0]', ' [0 0]', ' [0 0]', ' [0 0]', ' [0 0]', ' [0 0]', ' [0 0]]']","['[[0 0]', ' [0 0]', ' [0 0]', ' [0 0]', ' [0 0]', ' [0 0]', ' [0 0]', ' [0 0]', ' [0 0]', ' [0 0]]']",1.0,1.0,0.9
73,7,10,24,0.6,0.6,5.0,5.0,"['[[0 0]', ' [0 0]', ' [0 0]', ' [0 0]', ' [0 0]', ' [0 0]', ' [0 0]]']","['[[0 0]', ' [0 0]', ' [0 0]', ' [0 0]', ' [0 0]', ' [0 0]', ' [0 0]', ' [0 0]', ' [0 0]', ' [0 0]]']",1.0,1.0,0.9
74,7,10,36,0.6,0.6,5.0,5.0,"['[[0 0]', ' [0 0]', ' [0 0]', ' [0 0]', ' [0 0]', ' [0 0]', ' [0 0]]']","['[[0 0]', ' [0 0]', ' [0 0]', ' [0 0]', ' [0 0]', ' [0 0]', ' [0 0]', ' [0 0]', ' [0 0]', ' [0 0]]']",1.0,1.0,0.9
75,7,10,46,0.6,0.6,5.0,5.0,"['[[0 0]', ' [0 0]', ' [0 0]', ' [0 0]', ' [0 0]', ' [0 0]', ' [0 0]]']","['[[0 0]', ' [0 0]', ' [0 0]', ' [0 0]', ' [0 0]', ' [0 0]', ' [0 0]', ' [0 0]', ' [0 0]', ' [0 0]]']",1.0,1.0,0.9
76,4,4,36,0.6,0.6,1.216437745943317,1.2699708777389425,"['[[ -54  155]', ' [  63   49]', ' [ -98  160]', ' [  99 -182]]']","['[[  44  116]', ' [ -66  178]', ' [-100   52]', ' [ 173 -151]]']",1.0,1.0,0.9
77,7,10,12,0.1,0.5,5.0,5.0,"['[[0 0]', ' [0 0]', ' [0 0]', ' [0 0]', ' [0 0]', ' [0 0]', ' [0 0]]']","['[[0 0]', ' [0 0]', ' [0 0]', ' [0 0]', ' [0 0]', ' [0 0]', ' [0 0]', ' [0 0]', ' [0 0]', ' [0 0]]']",1.0,1.0,0.9
78,7,10,24,0.1,0.5,5.0,5.0,"['[[0 0]', ' [0 0]', ' [0 0]', ' [0 0]', ' [0 0]', ' [0 0]', ' [0 0]]']","['[[0 0]', ' [0 0]', ' [0 0]', ' [0 0]', ' [0 0]', ' [0 0]', ' [0 0]', ' [0 0]', ' [0 0]', ' [0 0]]']",1.0,1.0,0.9
79,7,10,36,0.1,0.5,5.0,5.0,"['[[0 0]', ' [0 0]', ' [0 0]', ' [0 0]', ' [0 0]', ' [0 0]', ' [0 0]]']","['[[0 0]', ' [0 0]', ' [0 0]', ' [0 0]', ' [0 0]', ' [0 0]', ' [0 0]', ' [0 0]', ' [0 0]', ' [0 0]]']",1.0,1.0,0.9
80,7,10,46,0.1,0.5,5.0,5.0,"['[[0 0]', ' [0 0]', ' [0 0]', ' [0 0]', ' [0 0]', ' [0 0]', ' [0 0]]']","['[[0 0]', ' [0 0]', ' [0 0]', ' [0 0]', ' [0 0]', ' [0 0]', ' [0 0]', ' [0 0]', ' [0 0]', ' [0 0]]']",1.0,1.0,0.9
81,7,10,12,0.1,0.6,5.0,5.0,"['[[0 0]', ' [0 0]', ' [0 0]', ' [0 0]', ' [0 0]', ' [0 0]', ' [0 0]]']","['[[0 0]', ' [0 0]', ' [0 0]', ' [0 0]', ' [0 0]', ' [0 0]', ' [0 0]', ' [0 0]', ' [0 0]', ' [0 0]]']",1.0,1.0,0.9
82,4,4,46,0.6,0.6,1.216437745943317,1.2699708777389425,"['[[ -54  155]', ' [  63   49]', ' [ -98  160]', ' [  99 -182]]']","['[[  44  116]', ' [ -66  178]', ' [-100   52]', ' [ 173 -151]]']",1.0,1.0,0.9
83,6,2,36,0.1,0.6,1.1703758679619716,1.3643437554920224,"['[[-142  147]', ' [ 162  129]', ' [ 124 -139]', ' [ -11  -68]', ' [ -36   91]', ' [  99  -40]]']","['[[156 118]', ' [-85  34]]']",1.0,1.0,0.9
