,Num_Cells_Strain1,Num_Cells_Strain2,Num_Cells_Strain3,t_deg_x,k_degA,k_degB,ratioS1,ratioS2,ratioS3_S1,ratioS3_S2,posS1,posS2,posS3,Stability,Replating,New_Stability
83,4,9,2,36,0.3,0.5,1.111802705111066,1.0346989339423085,0.12735810440549736,0.17042231572803604,"[[ 154  130]
 [  70 -113]
 [-192 -179]
 [ -37 -122]]","[[-159 -107]
 [-102   46]
 [ 138 -102]
 [ 182  173]
 [   2 -138]
 [ 164  153]
 [ 150  188]
 [  -4   52]
 [-169  -49]]","[[164 153]
 [150 188]]",1.0,0.9,0.9
84,10,10,2,36,0.3,0.5,0.9924672166495642,0.9305648335667958,1.472403039390622,1.4602272000905967,"[[ 134   54]
 [  25   51]
 [ 168  127]
 [  79   62]
 [-171   28]
 [-119  175]
 [ -77 -170]
 [ 186   93]
 [-135   48]
 [-123 -174]]","[[  46 -173]
 [  73  171]
 [-163 -120]
 [ 170  -34]
 [-184  -46]
 [-109  -87]
 [ -45 -165]
 [-191  -92]
 [  57  137]
 [-124 -105]]","[[  46 -173]
 [  73  171]]",0.5,0.9,1.0
85,3,1,2,36,0.3,0.5,1.5071023999352262,0.0,1.2578743062451125,0.9304638143103401,"[[-165 -149]
 [  77   85]
 [-134   98]]",[[-116  -93]],"[[  77   85]
 [-134   98]]",0.7,0.9,0.0
86,3,4,9,36,0.3,0.5,1.4312245469029294,0.7233782416301735,1.0113809784154844,1.12949533362027,"[[  85  169]
 [ -30  -69]
 [-196 -180]]","[[-162  -92]
 [-176   99]
 [ -78 -176]
 [-149  -77]]","[[-176   99]
 [ -78 -176]
 [-149  -77]
 [  64  -29]
 [  -3 -199]
 [ 133   49]
 [ 159 -152]
 [ -97  195]
 [ -13 -137]]",0.9,0.9,0.6
87,2,5,2,36,0.3,0.5,1.3636664287953146,0.6783837083570191,0.3215002937201877,0.7032699173603748,"[[182 195]
 [-80 -58]]","[[ -77 -166]
 [ 180   -7]
 [ -41 -153]
 [ 106 -123]
 [ 197 -130]]","[[ 106 -123]
 [ 197 -130]]",0.5,0.9,0.0
88,10,3,8,36,0.3,0.5,1.0915506434759386,1.0170777425423407,1.0836078542092182,1.0599766305063123,"[[-168 -181]
 [  46    9]
 [ 105 -170]
 [-148  -43]
 [-190   60]
 [ -33  194]
 [  81  154]
 [  79   80]
 [ 130  -43]
 [ 191   54]]","[[ 127 -131]
 [  73 -156]
 [ -53  121]]","[[-148  -43]
 [-190   60]
 [ -33  194]
 [  81  154]
 [  79   80]
 [ 130  -43]
 [ 191   54]
 [ 127 -131]]",1.0,0.9,0.7
89,7,7,9,36,0.3,0.5,1.1087003685334462,0.8978214284818796,0.9044482515444663,1.1207045192303546,"[[ 194 -148]
 [ -54  175]
 [-144  -45]
 [ -67 -161]
 [  37   -2]
 [  62  102]
 [ 176  153]]","[[  99 -168]
 [ -99 -148]
 [-114   53]
 [-176 -154]
 [ -72  123]
 [ -12   45]
 [ -13 -151]]","[[  99 -168]
 [ -99 -148]
 [-114   53]
 [-176 -154]
 [ -72  123]
 [ -12   45]
 [ -13 -151]
 [ 111 -107]
 [ 108 -192]]",1.0,0.9,1.0
90,9,9,5,36,0.3,0.5,1.1291186227001964,0.8014822647697921,0.8374872781551874,1.1973571355035255,"[[ -72  176]
 [ 139  126]
 [-104 -152]
 [-131  -99]
 [ 158  109]
 [ 103 -188]
 [ 199 -141]
 [ 176 -182]
 [ -45   92]]","[[-190  159]
 [ -73   43]
 [  59   -1]
 [-129 -105]
 [-175 -155]
 [  43   25]
 [ 114  -65]
 [  -1   32]
 [-105   84]]","[[-190  159]
 [ -73   43]
 [  59   -1]
 [-129 -105]
 [-175 -155]]",0.8,0.9,1.0
91,9,4,9,36,0.3,0.5,1.0499848828707794,1.2145316475543584,1.1028299590195834,1.0969785439047954,"[[-138  -75]
 [ -88 -140]
 [ 165  128]
 [  52   11]
 [  92   56]
 [  29  111]
 [ -17  184]
 [ -48 -155]
 [ -17 -147]]","[[ -78  146]
 [-125  -67]
 [ -13 -195]
 [  98  -15]]","[[  92   56]
 [  29  111]
 [ -17  184]
 [ -48 -155]
 [ -17 -147]
 [ -78  146]
 [-125  -67]
 [ -13 -195]
 [  98  -15]]",1.0,0.9,1.0
92,5,2,7,36,0.3,0.5,0.9172290161256588,1.5610214402237892,1.292006652096069,1.1546114014627977,"[[  15   12]
 [ -48  138]
 [ 160  -86]
 [-110  -30]
 [  40 -126]]","[[-137 -170]
 [ 167  -45]]","[[ 160  -86]
 [-110  -30]
 [  40 -126]
 [-137 -170]
 [ 167  -45]
 [  76  137]
 [-187  152]]",0.6,0.9,1.0
