,Num_Cells_Strain1,Num_Cells_Strain2,t_deg_x,k_degA,k_degB,ratioS1,ratioS2,posS1,posS2,Stability,Replating,New_Stability
58,5,10,46,0.1,0.3,0.9116131305941034,1.0976454780623601,"[[-39  95]
 [ 37 179]
 [ 39  98]
 [-86 -79]
 [157 -42]]","[[ 153   65]
 [-178 -199]
 [-171 -122]
 [  63   60]
 [-151   25]
 [-121   86]
 [   1  -76]
 [-192  112]
 [ 139   36]
 [-115  154]]",0.1,0.9,0.0
59,10,2,46,0.1,0.3,1.1544114395626572,0.7653883901442616,"[[-160  101]
 [ 138 -160]
 [-196   17]
 [ -31 -114]
 [-110  -91]
 [ 130  -93]
 [-149  -22]
 [ 189 -100]
 [ 155  114]
 [ 116   80]]","[[  91 -136]
 [ -63 -160]]",0.0,0.9,0.0
60,1,2,46,0.1,0.3,0.0,1.0220825376864584,[[-162   -8]],"[[  66   40]
 [  -6 -191]]",0.0,0.9,0.0
61,7,6,46,0.1,0.3,0.7448525511600876,0.9938316210003434,"[[  89   96]
 [  42 -140]
 [ 199  -36]
 [ -41  -33]
 [ 130  -77]
 [ 138 -154]
 [ 179 -106]]","[[ -78  176]
 [ -39   16]
 [ 108  138]
 [-167   23]
 [ 134  -63]
 [   5  -78]]",0.0,0.9,0.0
62,7,9,46,0.1,0.3,1.1589476750566396,0.9494190770771631,"[[ 122  -34]
 [  86 -105]
 [ -46  -63]
 [  89 -129]
 [   1  164]
 [  59 -162]
 [-167  117]]","[[ -90   47]
 [ 101   50]
 [ -96 -109]
 [ 174    3]
 [  76  -99]
 [  -3 -130]
 [ 190  -82]
 [  63   -1]
 [  41   41]]",0.5,0.9,0.7
63,8,3,46,0.1,0.3,0.9372650420548576,0.6580551090782696,"[[-119   42]
 [-124   90]
 [  58 -172]
 [  19  -80]
 [-174   96]
 [ -85  -55]
 [ -22  -10]
 [ -24  -63]]","[[ 40  21]
 [ 76  64]
 [ 45 -87]]",0.0,0.9,0.0
64,4,5,46,0.1,0.3,1.2825706135896313,1.0878979792840568,"[[ 105 -173]
 [ -26  172]
 [ 100  118]
 [-120  -79]]","[[ 188   96]
 [ -71  -24]
 [  -3 -164]
 [ 151  -31]
 [   4  156]]",0.1,0.9,0.0
65,7,5,46,0.1,0.3,0.9502123799178973,0.9752591247479027,"[[   9  177]
 [-142   95]
 [  48 -178]
 [-134  165]
 [   7 -172]
 [-162  120]
 [-150 -149]]","[[-103  168]
 [ -18 -181]
 [ 152   82]
 [ 138    2]
 [  85  194]]",0.0,0.9,0.0
66,2,1,46,0.1,0.3,0.4436665270391766,0.0,"[[ -30 -196]
 [-176 -196]]",[[-52 121]],0.0,0.9,0.0
67,7,2,46,0.1,0.3,0.9804654744592161,1.6347681525887146,"[[   0  116]
 [ 131 -112]
 [   4  -49]
 [ 100    7]
 [ 111  196]
 [  86 -120]
 [-160  114]]","[[ 181  -12]
 [-162   39]]",0.0,0.9,0.0
68,1,3,46,0.1,0.3,0.0,1.028844485247693,[[ -95 -119]],"[[-172   68]
 [  48  197]
 [-148  -36]]",0.0,0.9,0.0
69,7,1,46,0.1,0.3,0.8981620601207736,0.0,"[[-163  139]
 [-178    4]
 [-106  -90]
 [ -74 -116]
 [ -27   46]
 [ -69  -50]
 [  85  -56]]",[[51 63]],0.0,0.9,0.0
