,Epochs,Learning_Rate,Batch_Size,Neurons,Dropout,Activation,Initializer,Regularizer,Normalization,Acc_train,Acc_val,Acc_test,Optimizer
215,3000,0.0002,1024,"[100, 75, 50, 25]",0.1,elu,he_normal,l2,1,0.9133897423744202,0.9123506069183348,0.933996033668518,adam
216,3000,0.0002,1024,"[100, 75, 50, 25]",0.1,relu,zeros,l1,1,0.6553011536598206,0.6553784608840942,0.6560636162757874,adam
217,3000,0.0001,256,"[100, 75, 50, 25]",0.1,relu,he_uniform,l2,1,0.938277757167816,0.9095617532730104,0.9228628039360046,adam
218,3000,0.0002,1024,"[100, 75, 50, 25]",0.1,elu,zeros,l1,1,0.6553011536598206,0.6553784608840942,0.6560636162757874,adam
219,3000,0.0002,1024,"[100, 75, 50, 25]",0.1,relu,zeros,l2,1,0.6553011536598206,0.6553784608840942,0.6560636162757874,adam
220,3000,0.0002,1024,"[100, 75, 50, 25]",0.1,elu,zeros,l2,1,0.6553011536598206,0.6553784608840942,0.6560636162757874,adam
221,3000,0.0002,1024,"[100, 75, 50, 25]",0.1,relu,random_uniform,l1,1,0.9575410604476928,0.9203187346458436,0.9347912549972536,adam
222,3000,0.0002,1024,"[100, 75, 50, 25]",0.1,elu,random_uniform,l1,1,0.890691876411438,0.8920318603515625,0.9013916373252868,adam
223,3000,0.0002,1024,"[100, 75, 50, 25]",0.1,relu,random_uniform,l2,1,0.9472374200820924,0.923505985736847,0.9335984110832214,adam
224,3000,0.0002,1024,"[100, 75, 50, 25]",0.1,elu,random_uniform,l2,1,0.907117974758148,0.9055776834487916,0.9296222686767578,adam
225,3000,0.0002,1024,"[100, 75, 50, 25]",0.1,relu,random_normal,l1,1,0.958586359024048,0.914741051197052,0.937574565410614,adam
226,3000,0.0002,1024,"[100, 75, 50, 25]",0.1,elu,random_normal,l1,1,0.8957690477371216,0.9035856604576112,0.9141153216362,adam
227,3000,0.0002,1024,"[100, 75, 50, 25]",0.1,relu,random_normal,l2,1,0.9457441568374634,0.9227091789245604,0.9284294247627258,adam
228,3000,0.0001,256,"[100, 75, 50, 25]",0.1,elu,he_uniform,l2,1,0.9118964672088624,0.9103585600852966,0.9308151125907898,adam
229,3000,0.0002,1024,"[100, 75, 50, 25]",0.1,elu,random_normal,l2,1,0.9104031801223756,0.9099601745605468,0.9328031778335572,adam
230,3000,0.0003,256,"[100, 75, 50, 25]",0.25,relu,he_uniform,l1,1,0.9220009803771972,0.924701201915741,0.9407554626464844,adam
231,3000,0.0003,256,"[100, 75, 50, 25]",0.25,elu,he_uniform,l1,1,0.8858138442039489,0.9075697183609008,0.9137176990509032,adam
232,3000,0.0003,256,"[100, 75, 50, 25]",0.25,relu,he_uniform,l2,1,0.9281732201576232,0.9223107695579528,0.9403578519821169,adam
233,3000,0.0003,256,"[100, 75, 50, 25]",0.25,elu,he_uniform,l2,1,0.9035340905189514,0.911155378818512,0.9264413475990296,adam
234,3000,0.0003,256,"[100, 75, 50, 25]",0.25,relu,he_normal,l1,1,0.9235440611839294,0.9183266878128052,0.944731605052948,adam
235,3000,0.0003,256,"[100, 75, 50, 25]",0.25,elu,he_normal,l1,1,0.8917869567871094,0.9115537881851196,0.9165009975433348,adam
236,3000,0.0003,256,"[100, 75, 50, 25]",0.25,relu,he_normal,l2,1,0.9343454599380492,0.9219123601913451,0.94115309715271,adam
237,3000,0.0003,256,"[100, 75, 50, 25]",0.25,elu,he_normal,l2,1,0.9038327455520628,0.912350594997406,0.9288270354270936,adam
238,3000,0.0003,256,"[100, 75, 50, 25]",0.25,relu,zeros,l1,1,0.6553011536598206,0.6553784608840942,0.6560636162757874,adam
239,3000,0.0001,256,"[100, 75, 50, 25]",0.1,relu,he_normal,l1,1,0.9452961683273317,0.923505985736847,0.9367793202400208,adam
240,3000,0.0003,256,"[100, 75, 50, 25]",0.25,elu,zeros,l1,1,0.6553011536598206,0.6553784608840942,0.6560636162757874,adam
241,3000,0.0003,256,"[100, 75, 50, 25]",0.25,relu,zeros,l2,1,0.6553011536598206,0.6553784608840942,0.6560636162757874,adam
242,3000,0.0003,256,"[100, 75, 50, 25]",0.25,elu,zeros,l2,1,0.6553011536598206,0.6553784608840942,0.6560636162757874,adam
243,3000,0.0003,256,"[100, 75, 50, 25]",0.25,relu,random_uniform,l1,1,0.92289696931839,0.9219123601913451,0.9455268263816834,adam
244,3000,0.0003,256,"[100, 75, 50, 25]",0.25,elu,random_uniform,l1,1,0.884071660041809,0.8960159540176391,0.904572570323944,adam
